District,School,Date(s) of Collection,First Day of School (2026-27),SIS/Scheduling Software,Days before start of school schedules are available (Latest possible day),Named Arena Selection Process,Preliminary/Unofficial Schedule Before Summer,Teacher Request Allowed,Days after start of school to submit schedule changes (Earliest possible deadline),Disallowed Reason - To be with a friend,Disallowed Reason - Teacher Changes,Disallowed Reason - Different Lunch period,Disallowed Reason - Elective Change,Disallowed Reason - Dropping an application course after a student has been accepted and enrolled,Disallowed Reason - Dropped Course,Disallowed Reason - Changing between AP and IB,Disallowed Reason - Changing of a privilege period,Disallowed Reason - Improving GPA,AP/Honors/Advanced Level-Down Allowed,Level-Down Deadline/Trigger - End of first 6 weeks,Level-Down Deadline/Trigger - End of first semester,Level-Down Deadline/Trigger - Automatic if Failing After 6 weeks,Level-Down Deadline/Trigger - Teacher Initiated,Reason - Change needed for graduation,Reason - Already completed credit,Reason - Missing/Failed Prerequisites,"Reason - Incomplete Schedule, Duplicate Classes, or other Schedule Error","Reason - Balancing Class Loads, or other School Need",Reason - Did not apply / enrolled by mistake,Reason - Add/Drop Athletics/Performing Arts,Reason - Alignment with College Admission Requirements,Reason - Change Needed to Complete an Endorsement,Reason - Needs Placement in Special Education,"Reason - 504 plan, or ESL/ELL services",Reason - Adjustment for Medical/Physical Health,Reason - Relevant Credit earned in Summer School,Reason - Student Elected or Assigned to Conflicting Activity by the Administration,Reason - Remedial Coursework Needed for State Assessment,Reason - Previously Failed Class with Teacher,Reason - Student Enrolled in Dual-Credit Class,Reason - Teacher Initiated Changes,Reason - ARD Meeting Recommendation,Reason - Student Did Not Meet Standard on STAAR or EOC Exams,Use of Scheduling Software,Teacher Request Prior to Schedule Build,Possible to Switch Core Classes,Notes,source_files,model,coded_date,_pathkey
Anahuac ISD,Anahuac HS,"July 5, 2026","August 7, 2026",,1 day (August 6),Not stated,Not stated,Not stated,First week of school,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,"Document contains conflicting answers across columns (e.g., use of scheduling software listed as both Yes and No) with no policy prose on course-change reasons; most fields not addressed in available text.",Anahuac ISD.docx,claude-sonnet-5,2026-08-24,Anahuac ISD||Anahuac ISD
Andrews ISD,Andrews HS,07/10/26,Not stated,,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Policy states schedules changed only for a 'legitimate reason,' must occur prior to each semester; change form requires parent/admin signature; campus publishes additional timeframe policies not included here.",Andrews ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Andrews ISD||Andrews ISD
Belton ISD,Lake Belton HS,"July 7, 2026","August 13, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Policy: no withdrawal after start of instruction without principal approval; grade from dropped course carries to new course; recommended to switch within same discipline; student responsible for full course content on final exam.,Belton ISD Data Collection - Lake Belton HS.docx,claude-sonnet-5,2026-08-24,Belton ISD||Lake Belton HS
Boerne ISD,Champion High School,07/21/26,"Aug 11, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Boerne ISD - Champion HS Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Boerne ISD||Champion HS
Boerne ISD,Boerne HS,07/21/26,"Aug 11, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Boerne ISD - Boerne HS Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Boerne ISD||HS
Brazosport ISD,Brazosport,07/21/26,"Aug 12, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Brazosport ISD - Brazosport Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Brazosport ISD||Brazosport ISD
Brazosport ISD,Brazoswood,07/21/26,"Aug 12, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Document is largely a blank template with unanswered fields; only district, school, date, first day of school, and software use are populated.",Brazosport ISD - Brazoswood Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Brazosport ISD||Brazoswood
Breckenridge ISD,Breckenridge HS,"July 6th, 2026",Not stated,,"1 day (schedule pickup August 4, school starts August 5)",Not stated,Not stated,Not stated,14 days (within first two weeks of school),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Multiple respondent columns show inconsistent strictness ratings (Lenient/Moderate/Moderate/Strict) for schedule change deadlines; no detailed policy prose on accepted/disallowed reasons was provided.,Breckenridge ISD Data Collection.docx,claude-sonnet-5,2026-08-24,Breckenridge ISD||Breckenridge ISD
Brownfield ISD,Brownfield HS,"July 6, 2026",Not stated,,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Handbook notes schedule changes must be made with parent permission; deadline strictness rated Lenient/Moderate/Strict across sources; document contains largely blank cells with little substantive policy prose.,Brownfield ISD Data Collection.docx,claude-sonnet-5,2026-08-24,Brownfield ISD||Brownfield ISD
Burkburnett ISD,Burkburnett HS,"July 6, 2026; August 7, 2026",August 12,,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Burkburnett ISD Data Collection.docx,claude-sonnet-5,2026-08-24,Burkburnett ISD||Burkburnett ISD
Burleson ISD,Centennial HS,"July 8, 2026","August 12, 2026",,"9 days (Aug 3 form available, school starts Aug 12)",Not stated,Not stated,Not stated,"9 days (form available until Aug 21, school starts Aug 12)",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Data mostly incomplete; only schedule change form dates and software use noted,Burleson ISD Data Collection - Centennial HS.docx,claude-sonnet-5,2026-08-24,Burleson ISD||Centennial HS
Castleberry ISD,Castleberry HS,"July 7, 2026",August 11 (from 2025-2026 calendar),,"2 days (Meet the Teacher Night Aug 9, school starts Aug 11)",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Document contains mostly blank fields; no policy prose on course/schedule change reasons was provided.,Castleberry ISD Data Collection.docx,claude-sonnet-5,2026-08-24,Castleberry ISD||Castleberry ISD
Central ISD,Central HS,"July 7, 2026","August 12, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Deadline strictness varied by column (Lenient/Moderate/Strict); software use answers inconsistent across columns (Yes/Yes/No/No); no policy prose provided,Central ISD Data Collection.docx,claude-sonnet-5,2026-08-24,Central ISD||Central ISD
Charlotte ISD,Charlotte HS,"July 28, 2026",August 10,,"4 days (Meet the Teacher, August 6)",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Document is largely a blank data-collection template; most policy questions were not answered. School uses PowerSchool/Skyward/Ascender for scheduling software.,Charlotte ISD Data Collection.docx,claude-sonnet-5,2026-08-24,Charlotte ISD||Charlotte ISD
City View ISD,City View Jr Sr High School,"July 21, 2026; August 7, 2026",August 19,,"2 days (Meet the Teacher, 2025 reference)",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Document largely blank/incomplete; deadline strictness rated variably (Lenient/Moderate/Moderate/Strict) across respondents; software use answers conflicting (Yes/Yes/No/No) and different systems listed (PowerSchool, Skyward, Skyward, Ascender).",City View ISD Data Collection.docx,claude-sonnet-5,2026-08-24,City View ISD||City View ISD
Clint ISD,Clint High School,07/23/26,"Aug 12, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Clint ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Clint ISD||Clint ISD
Clint ISD,Mountain View,07/23/26,"Jul 27, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Clint ISD - Mountain View HS Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Clint ISD||Mountain View HS
Colorado ISD,Colorado High School,07/10/26,"Aug 10, 2026",,Not stated,Not stated,Not stated,Not stated,First week of each semester,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Schedule change requests allowed only in first week of each semester via counselor form; strictness rated variably (Lenient to Strict) across sources; software used varies (PowerSchool, Skyward, Ascender).",Colorado ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Colorado ISD||Colorado ISD
Commerce ISD,Commerce HS,"July 21, 2026; August 7, 2026",August 18,,"3 days (Meet the Teacher, Aug 15)",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Commerce ISD Data Collection.docx,claude-sonnet-5,2026-08-24,Commerce ISD||Commerce ISD
Connally ISD,Connally,07/23/26,"Aug 11, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Connally ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Connally ISD||Connally ISD
Conroe ISD,Oak Ridge HS,"July 17, 2026",August 12,,6 days,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Course verification/changes occur in spring before school starts; post-verification changes limited to prerequisite issues or misplacement.,Conroe ISD Data Collection - Oak Ridge HS.docx,claude-sonnet-5,2026-08-24,Conroe ISD||Oak Ridge HS
Conroe ISD,The Woodlands HS,"July 17, 2026",August 12,,9 days (Preliminary schedule live Aug 3; school starts Aug 12),Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Course change deadline is April 17, 2026 (before school year begins); after that, changes only allowed for missing prerequisites or misplacement.",Conroe ISD Data Collection - The Woodlands HS.docx,claude-sonnet-5,2026-08-24,Conroe ISD||The Woodlands HS
Coppell ISD,Coppell,07/24/26,"Aug 12, 2026",,Not stated,Not stated,Y,N,Not stated,Not stated,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Change window closes Aug 7 @ 4pm, before Aug 12 start of school; leniency rated Lenient/Moderate/Strict across sources.",Coppell ISD - Coppell Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Coppell ISD||Coppell ISD
Coppell ISD,New Tech,07/24/26,"Aug 12, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Course changes only allowed in specific windows: Mar 2-4 (verification), Apr 14-17 (level-down requests), Jul 27-Aug 7 (last chance for changes, before Aug 12 start); 11th/12th grade drop window at end of first semester. Level-down changes described as 'highly unlikely' during the school year.",Coppell ISD - New Tech HS Data Collection Guide.docx,claude-sonnet-5,2026-08-24,Coppell ISD||New Tech HS
Copperas Cove ISD,Copperas Cove HS,"July 9, 2026; August 7, 2026","August 17, 2026",,7 days before (Aug 10),Not stated,Not stated,Y,7 days after (Aug 24),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Deadline for schedule changes is unclear in handbook; call notes cite Aug 24 (7 days after start). Software use and teacher-request policies vary slightly across sources.,Copperas Cove ISD Data Collection.docx,claude-sonnet-5,2026-08-24,Copperas Cove ISD||Copperas Cove ISD
Crandall ISD,Crandall HS,"July 10, 2026 - August 7, 2026","August 13, 2026",,16 days (Meet the Teacher July 28-31),Not stated,Not stated,Not stated,10 days,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Schedule change deadline is first 10 days of semester; strictness of deadline varies by source (Lenient to Strict),Crandall ISD Data Collection.docx,claude-sonnet-5,2026-08-24,Crandall ISD||Crandall ISD
